,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,G.Henderson o2.5 Total Bases,charliedisturco,215,0.2,G.Henderson,0.63,0.43,Baltimore Orioles,Los Angeles Dodgers,0.0,0.3282442748091603,0.0,0.0,0.0,0.2,0.0,N
1,G.Henderson o0.5 HR,charliedisturco,540,0.1,G.Henderson,0.6400000000000001,0.5400000000000001,Baltimore Orioles,Los Angeles Dodgers,0.0,0.2442748091603053,0.0,0.0,0.0,0.2,0.0,N
2,G.Henderson o1.5 Total Bases,charliedisturco,100,0.5,G.Henderson,1.0,0.5,Baltimore Orioles,Los Angeles Dodgers,0.0,0.4580152671755725,0.0,0.2,0.0,0.3,0.0,N
3,S.Ohtani o1.5 Total Bases,theprophunter0_,105,1.0,S.Ohtani,2.05,1.0499999999999998,Los Angeles Dodgers,Baltimore Orioles,1.0,0.5511811023622047,1.0,0.6,1.0,0.6,1.0,Y
4,A.Santander o0.5 HR,gneiffer07,470,0.25,A.Santander,1.425,1.175,Baltimore Orioles,Los Angeles Dodgers,0.0,0.2755905511811024,0.0,0.2,0.0,0.2,0.0,N
5,J.Merrill o1.5 Total Bases,theprophunter0_,110,1.0,J.Merrill,2.1,1.1,San Diego Padres,St Louis Cardinals,0.0,0.432,0.0,0.6,1.0,0.6,1.0,N
6,J.Musgrove o1.5 BB,KyleJustBets,-135,1.0,J.Musgrove,1.7407407407407407,0.7407407407407407,San Diego Padres,St Louis Cardinals,0.0,0.4166666666666667,0.0,0.4,0.0,0.5,0.0,N
7,A.Pallante u2.5 BB,SBK5065,-180,1.0,A.Pallante,1.5555555555555556,0.5555555555555556,St Louis Cardinals,San Diego Padres,1.0,0.6428571428571429,1.0,0.8,1.0,0.7,1.0,Y
8,M.Meyer u15.5 Outs,SBK5065,-130,1.0,M.Meyer,1.7692307692307692,0.7692307692307692,Miami Marlins,Colorado Rockies,0.0,0.5555555555555556,1.0,0.6,1.0,0.5555555555555556,1.0,Y
9,K.Freeland u4.5 Ks,PropBetGuy,-135,1.35,K.Freeland,2.35,1.0,Colorado Rockies,Miami Marlins,1.0,0.6666666666666666,1.0,0.6,1.0,0.5,0.0,N
10,F.Lindor o2.5 Total Bases,charliedisturco,190,0.2,F.Lindor,0.58,0.3799999999999999,New York Mets,Arizona Diamondbacks,0.0,0.3409090909090909,0.0,0.6,1.0,0.6,1.0,N
11,F.Lindor o0.5 HR,charliedisturco,470,0.1,F.Lindor,0.5700000000000001,0.4700000000000001,New York Mets,Arizona Diamondbacks,0.0,0.1742424242424242,0.0,0.2,0.0,0.3,0.0,N
12,F.Lindor o1.5 Total Bases,charliedisturco,-103,0.52,F.Lindor,1.0248543689320389,0.5048543689320388,New York Mets,Arizona Diamondbacks,0.0,0.4621212121212121,0.0,0.8,1.0,0.7,1.0,N
13,L.Severino u17.5 Outs,KyleJustBets,-120,1.0,L.Severino,1.8333333333333333,0.8333333333333335,New York Mets,Arizona Diamondbacks,0.0,0.44,0.0,0.8,1.0,0.5,0.0,Y
14,L.Severino o1.5 BB,Markus_Markets,-160,1.0,L.Severino,1.625,0.625,New York Mets,Arizona Diamondbacks,0.0,0.64,1.0,0.6,1.0,0.7,1.0,N
15,J.Martinez o1.5 Hits + Runs + RBIs,MJCLocks,-105,1.05,J.Martinez,2.05,0.9999999999999998,New York Mets,Arizona Diamondbacks,0.0,0.48,0.0,0.4,0.0,0.5,0.0,Y
16,M.Olson o0.5 HR,gneiffer07,450,0.25,M.Olson,1.375,1.125,Atlanta Braves,Minnesota Twins,0.0,0.1590909090909091,0.0,0.4,0.0,0.2,0.0,N
17,D.Festa u15.5 Outs,SBK5065,-167,1.67,D.Festa,2.6699999999999995,0.9999999999999996,Minnesota Twins,Atlanta Braves,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N
18,R.Greene o1.5 Hits + Runs + RBIs,ThePropfessor_,-125,1.25,R.Greene,2.25,1.0,Detroit Tigers,Los Angeles Angels,1.0,0.5277777777777778,1.0,1.0,1.0,0.5,0.0,N
19,F.Peralta u7.5 Ks,PropBetGuy,-136,1.36,F.Peralta,2.3600000000000003,1.0000000000000002,Milwaukee Brewers,San Francisco Giants,1.0,0.7307692307692307,1.0,1.0,1.0,0.8,1.0,N
20,F.Peralta u2.5 BB,Markus_Markets,-175,1.0,F.Peralta,1.5714285714285714,0.5714285714285714,Milwaukee Brewers,San Francisco Giants,1.0,0.8076923076923077,1.0,1.0,1.0,0.8,1.0,N
21,K.Harrison u15.5 Outs,SBK5065,-143,1.0,K.Harrison,1.6993006993006992,0.6993006993006992,San Francisco Giants,Milwaukee Brewers,0.0,0.5454545454545454,1.0,0.6,1.0,0.5,0.0,Y
22,B.Witt o1.5 Total Bases,theprophunter0_,-125,1.0,B.Witt,1.8,0.8,Kansas City Royals,Cleveland Guardians,0.0,0.0075187969924812,0.0,0.0,0.0,0.0,0.0,N
23,V.Caratini o0.5 Hits,JBBets1,190,1.9,V.Caratini,5.51,3.61,Houston Astros,Philadelphia Phillies,0.0,0.5901639344262295,1.0,0.6,1.0,0.6,1.0,Y
24,V.Guerrero o1.5 Total Bases,theprophunter0_,-105,1.05,V.Guerrero,2.05,0.9999999999999998,Toronto Blue Jays,Boston Red Sox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
25,V.Guerrero o1.5 Total Bases,moneybadger24_,-120,1.2,V.Guerrero,2.2,1.0000000000000002,Toronto Blue Jays,Boston Red Sox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
26,B.Bello o1.5 BB,Markus_Markets,-160,1.0,B.Bello,1.625,0.625,Boston Red Sox,Toronto Blue Jays,1.0,0.75,1.0,1.0,1.0,0.7,1.0,N
27,J.Soto o0.5 HR,gneiffer07,455,1.0,J.Soto,5.55,4.55,New York Yankees,Washington Nationals,0.0,0.2325581395348837,0.0,0.2,0.0,0.3,0.0,N
28,M.Gore o15.5 Outs,sirlockselot_,145,2.9,M.Gore,7.105,4.205,Washington Nationals,New York Yankees,1.0,0.4615384615384615,0.0,0.6,1.0,0.4,0.0,Y
29,M.Gore u15.5 Outs,SBK5065,-165,1.0,M.Gore,1.606060606060606,0.606060606060606,Washington Nationals,New York Yankees,1.0,0.5384615384615384,1.0,0.4,0.0,0.6,1.0,N
30,C.Bellinger o1.5 Hits + Runs + RBIs,theprophunter0_,-105,1.0,C.Bellinger,1.9523809523809523,0.9523809523809524,Chicago Cubs,Pittsburgh Pirates,0.0,0.5533980582524272,1.0,0.4,0.0,0.4,0.0,Y
31,O.Bido o4.5 Ks,KyleJustBets,-135,0.74,O.Bido,1.288148148148148,0.548148148148148,Oakland Athletics,Cincinnati Reds,0.0,0.8571428571428571,1.0,1.0,1.0,0.8571428571428571,1.0,Y
32,O.Bido u15.5 Outs,SBK5065,-152,1.0,O.Bido,1.6578947368421053,0.6578947368421053,Oakland Athletics,Cincinnati Reds,0.0,0.5714285714285714,1.0,0.4,0.0,0.5714285714285714,1.0,N
33,B.Harper o0.5 total bases,Rotowire,100,0.75,B.Harper,1.5,0.75,Philadelphia Phillies,Houston Astros,1.0,0.6724137931034483,1.0,1.0,1.0,0.6,1.0,N
34,W.Buehler o3.5 strikeouts,Rotowire,100,0.75,W.Buehler,1.5,0.75,Los Angeles Dodgers,Baltimore Orioles,1.0,0.4,0.0,0.0,0.0,0.4,0.0,Y
35,C.Burnes o5.5 strikeouts,Rotowire Prizepicks,100,1.5,C.Burnes,3.0,1.5,Baltimore Orioles,Los Angeles Dodgers,0.0,0.5,0.0,0.4,0.0,0.4,0.0,N
36,C.Cowser o1.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,C.Cowser,3.0,1.5,Baltimore Orioles,Los Angeles Dodgers,0.0,0.4918032786885246,0.0,0.4,0.0,0.4,0.0,N
37,W.Buehler u3.5 strikeouts,Rotowire Prizepicks,100,1.5,W.Buehler,3.0,1.5,Los Angeles Dodgers,Baltimore Orioles,1.0,0.6,1.0,1.0,1.0,0.6,1.0,N
38,P.Pages o0.5 hits+runs+rbi,Rotowire,100,0.75,P.Pages,1.5,0.75,St Louis Cardinals,San Diego Padres,1.0,0.6739130434782609,1,0.8,1,0.6,1,N
39,M.Machado o1.5 hits+runs+rbi,Rotowire,100,0.75,M.Machado,1.5,0.75,San Diego Padres,St Louis Cardinals,0.0,0.5203252032520326,1,0.8,1,0.6,1,Y
40,C.Rodon o5.5 strikeouts,Rotowire,100,0.75,C.Rodon,1.5,0.75,New York Yankees,Washington Nationals,0.0,0.5769230769230769,1,0.6,1,0.7,1,Y
41,M.Gore o4.5 strikeouts,Rotowire,100,0.75,M.Gore,1.5,0.75,Washington Nationals,New York Yankees,1.0,0.5384615384615384,1,0.4,0,0.4,0,Y
42,G.Springer o1.5 hits+runs+rbi,Rotowire,100,0.75,G.Springer,1.5,0.75,Toronto Blue Jays,Boston Red Sox,0.0,0.4227642276422764,0,0.4,0,0.6,1,N
43,E.Rodriguez o4.5 strikeouts,Rotowire,100,0.75,E.Rodriguez,1.5,0.75,Arizona Diamondbacks,New York Mets,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,Y
44,B.Marsh o0.5 total bases,Rotowire Prizepicks,100,1.5,B.Marsh,3.0,1.5,Philadelphia Phillies,Houston Astros,1.0,0.5462962962962963,1,1.0,1,0.7,1,N
45,T.Walker o3.5 strikeouts,Rotowire Prizepicks,100,1.5,T.Walker,3.0,1.5,Philadelphia Phillies,Houston Astros,1.0,0.6923076923076923,1,0.4,0,0.6,1,N
46,S.Arrighetti o5.5 strikeouts,Rotowire,100,0.75,S.Arrighetti,1.5,0.75,Houston Astros,Philadelphia Phillies,0.0,0.5652173913043478,1,0.8,1,0.7,1,Y
47,A.Bohm o1.5 hits+runs+rbi,Rotowire,100,0.75,A.Bohm,1.5,0.75,Philadelphia Phillies,Houston Astros,1.0,0.5813953488372093,1,0.6,1,0.5,0,N
48,C.Burnes o4.5 strikeouts,Rotowire,100,0.75,C.Burnes,1.5,0.75,Baltimore Orioles,Los Angeles Dodgers,0.0,0.8076923076923077,1,0.6,1,0.8,1,N
49,D.Hill o1.5 hits+runs+rbi,Rotowire,100,0.75,D.Hill,1.5,0.75,Miami Marlins,Colorado Rockies,0.0,0.5263157894736842,1,0.4,0,0.4,0,Y
50,M.Ozuna o1.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,M.Ozuna,3.0,1.5,Atlanta Braves,Minnesota Twins,0.0,0.6136363636363636,1,0.4,0,0.5,0,Y
51,M.Toglia o1.5 hits+runs+rbi,Rotowire,100,0.75,M.Toglia,1.5,0.75,Colorado Rockies,Miami Marlins,1.0,0.5,0,0.4,0,0.5,0,N
52,J.Chourio o1.5 hits+runs+rbi,Rotowire,100,0.75,J.Chourio,1.5,0.75,Milwaukee Brewers,San Francisco Giants,1.0,0.5350877192982456,1,0.6,1,0.4,0,Y
53,A.Pallante o1.5 walks allowed,Rotowire,100,0.75,A.Pallante,1.5,0.75,St Louis Cardinals,San Diego Padres,1.0,0.7142857142857143,1,1.0,1,0.8,1,Y
54,K.Freeland o4.5 strikeouts,Rotowire Prizepicks,100,1.5,K.Freeland,3.0,1.5,Colorado Rockies,Miami Marlins,1.0,0.3333333333333333,0,0.4,0,0.5,0,Y
55,C.Carroll o1.5 hits+runs+rbi,Rotowire,100,0.75,C.Carroll,1.5,0.75,Arizona Diamondbacks,New York Mets,1.0,0.552,1,0.8,1,0.7,1,Y
56,L.Gurriel o1.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,L.Gurriel,3.0,1.5,Arizona Diamondbacks,New York Mets,1.0,0.6,1,0.6,1,0.7,1,Y
57,L.Severino o4.5 strikeouts,Rotowire Prizepicks,100,1.5,L.Severino,3.0,1.5,New York Mets,Arizona Diamondbacks,0.0,0.52,1,0.8,1,0.6,1,Y
58,D.Festa o1.5 earned runs,Rotowire Prizepicks,100,1.5,D.Festa,3.0,1.5,Minnesota Twins,Atlanta Braves,1.0,0.7142857142857143,1,0.6,1,0.7142857142857143,1,Y
59,A.Pallante o3.5 strikeouts,Rotowire Prizepicks,100,1.5,A.Pallante,3.0,1.5,St Louis Cardinals,San Diego Padres,1.0,0.7857142857142857,1,0.8,1,0.8,1,N
